Comment,Comment_Title,Date,User Rating,User_Account_Link,Username
"I read the first paperback when it came, and benefited from it. It was a pleasure to recapitulate and modernise the thinking. This book is very useful for medical professionals.","Useful, and updated.","April 21, 2017",5.0,/gp/profile/amzn1.account.AETNEJLMQROMMVNNVY3RYASTZDHA,Jarl A. Jakobsen
The later half of the book is a little bit repetitive. Overall the principles and models given in the book are very practical.,Very useful but could be shorter,"April 20, 2017",4.0,/gp/profile/amzn1.account.AH22Z6D7HH2XBNGL7MG3YTMNL5JA,Xinchao Shen
"It's a beautiful cake topper. I love the bling. However, there were 4 stones missing when it arrived. I found one loose stone in the plastic package. I contacted Amazon and they took care of me.",Pretty Bling!,"April 18, 2017",4.0,/gp/profile/amzn1.account.AGLP5J5Z26F5HO6ZYVXZGJDFKJTA,grdatchr
I was very pleased with all my orders delivery always prompt,Five Stars,"April 18, 2017",5.0,/gp/profile/amzn1.account.AEA7CRSU5R3TYCTAN72WKZTOFJOA,Amazon Customer
Beautiful just what I wanted!!,Five Stars,"April 17, 2017",5.0,/gp/profile/amzn1.account.AHSKZBCOCYZKJL62S4UP3DOTWWBQ,LindaGP
"So far so good, good sound!",Four Stars,"April 17, 2017",4.0,/gp/profile/amzn1.account.AHTZNGMWGQXS7DBCDBLMCUGBV6HA,frank elston
Thank you was great,Five Stars,"April 16, 2017",5.0,/gp/profile/amzn1.account.AGGVMRVQQN4SY3VCZQWQRGUWBNMQ,Amazon Customer
I didn't click with this book. I've tried reading it four times but I stop when it feels super repetitive. The concept could be explained in 20 pages but it's drug out for 300.,I've tried reading it four times but I stop when it feels super repetitive. The concept could be explained in 20 ...,"April 15, 2017",2.0,/gp/profile/amzn1.account.AHPDUQ7MFCRK7L5DBY437OWF7LPA,Amazon Customer
"Throughly recommended. Takes a sensible approach to productivity that balance pragmatism and principles. Above all, it's actually viable to implement.",Excellent Book,"April 15, 2017",5.0,/gp/profile/amzn1.account.AFRRAZVYGS6ZW4MQWV7UOWCGW4RQ,Amazon Customer
"I think the strategy posed in this book is good, but — to echo other reviews — the book is quite repetitive. I feel like that's a real and important disservice to all the super stressed and busy people who would pick it up. They don't have time to read about how to create a filing system THREE different times.Here is a cheat sheet to the book:- Skip Chapter 1--every word- In chapter 2 flip through until you see the diagram. It's helpful and sums up the entire process. You can read the beginning of the chapter if you want to get an overview of the process.- Chapter 3 is about how to plan and organize large, complex projects. It's helpful but repetitive. I'd only read the beginning if you don't know much about what he calls ""vertical thinking.""-Only read chapter 4 if you intend on keeping a filing system for all your reference material. Otherwise, just pick a way to capture your lists (pen and paper, computer, app) and know that he recommends taking two full days (at least) to implement his system.-Chapters 5 through 9 describe the system in detail. This is what you need to read, though each chapter is also repetitive and over explanatory. But I would go through these pretty much in their entirety. You don't always need to read when he explains what he means. (He explains what a list of ""Calls"" would have on it, for instance. And he says more than, ""list of people you need to call."")-Chapter 10 I thought was totally useless.-I haven't read part 3. It looks like deeper thoughts and conclusions, but I'm kind of over this book at this point. A quick skim tells me you don't need it.",Too much explanation and repetition slows down what should be a quick read,"April 14, 2017",3.0,/gp/profile/amzn1.account.AHT5ZGGQU2FLJJAMYJD5ZAW55ZCA,Earlybird31
I'ts a light,Four Stars,"April 14, 2017",4.0,/gp/profile/amzn1.account.AHD3EMLZGNN6B3ZYMV3DCITFMX2Q,Robin Maslin
My daughters love them! Fun and they are learning to tell time.,Five Stars,"April 13, 2017",5.0,/gp/profile/amzn1.account.AHE5H4N2H434CQO5VCRDZKWZBLEQ,Mckeewoman
Absolutely love it!,Beautiful Sturdy Cake Topper!!,"April 13, 2017",5.0,/gp/profile/amzn1.account.AELS6UAN46SK5BVXCU3ODMOIXROQ,Tamesha Carter
"I love it. It's big,beautiful, and sparkly.",Five Stars,"April 12, 2017",5.0,/gp/profile/amzn1.account.AG5TKRO3TR5BPJNIG6JFOYACRZ3Q,Evette
The gooseneck lamp is just perfect! I have it placed on my bandsaw to eliminate shadows on my cut lines. It has helped improve my safety and accuracy.,Led gooseneck lamp is the bomb!,"April 12, 2017",5.0,/gp/profile/amzn1.account.AHUUJEQ5E2N2P4LMSOZ6ICBPCXCQ,Amazon Customer
"It's looks exactly the way it looks on the website.Fast delivery, good price.",good price.,"April 12, 2017",5.0,/gp/profile/amzn1.account.AHAFYSY4ANNCRNFHJPT4ZPAASXPA,Amazon Customer
Loved It... It was beautiful and full!,Five Stars,"April 11, 2017",5.0,/gp/profile/amzn1.account.AEOBRTMRSSJND5DNAXCY3CRURX7Q,Meme. A.
They are heavy,Four Stars,"April 11, 2017",4.0,/gp/profile/amzn1.account.AEO3K6EV2RLTG3R54OB3IWOZ3ZAQ,Amazon Customer
They sound amazing.,Five Stars,"April 10, 2017",5.0,/gp/profile/amzn1.account.AHAA2K4NDGCATCYQMPZBCEKD4R3Q,Jeanne
"I haven't got the chance to use it yet for what i intended to (working on my cars) but it will be absolutely perfect i can already tell. I will be able to place it near the area i need light then bend it to illuminate the work area without a big clumsy light source being in the way. Its small enough to place on a compatible.metal surface yet bright enough to illuminate the tight area of an engine id be working in. I love it and hadn't even used it yet. But based on all the other big clumsy light sources I've used in the past, it will be perfect. In fact I'm going to order another one.",... (working on my cars) but it will be absolutely perfect i can already tell,"April 10, 2017",5.0,/gp/profile/amzn1.account.AG6VVWLYESMTF24IDKT22VXMTVGA,Rusty
"It cam on time. I have used it ones to try it . So far, so good.","So far, A OK.","April 10, 2017",5.0,/gp/profile/amzn1.account.AH7GHG346DCFK6AWW5YBB43IYPYA,peter prinz
The sound and feel is awsome. They price you can't beat. If you love to run like i do and don't want to pay 200.00 dollars for a good head set this is the one for you..,Great for serious runners.,"April 10, 2017",4.0,/gp/profile/amzn1.account.AGOY4IBVA24TJKRPP26TXYOLL5MA,Amazon Customer
Liked it. arrived on time.,Three Stars,"April 8, 2017",3.0,/gp/profile/amzn1.account.AERFVGE4SXG3BJ76O3ZI7UG4ZAOA,Carol
I like the light very much.  I am using it on my band saw.  I only wish it was a little brighter.,I like the light very much,"April 7, 2017",4.0,/gp/profile/amzn1.account.AHGNEPI5L5UXKJXRGJLFHTY2JZDA,Robert Gillis
I love it,Five Stars,"April 7, 2017",5.0,/gp/profile/amzn1.account.AHLPGJFVJHBUKJETZ4UXK5HS5FEA,HelloKitty
"Life is all about moving forward well. Juggling the balls, balancing all the ""parts"" of life. And, lets face it... the various methods of ''time management'' and related approaches fail to actually work. So, there must be a better way. There is. Stop segmenting, stop trying to remember, start recognizing that your life is a whole, your brain is lousy at remembering, and use GTD to align your life with what really matters to you!This updated edition still provides the core that the original communicated, but moves away from tool-specifics to highlight even more the real core of the approach that will lead you to ""mind like water."" Read it. Apply it. We need your art in the world!",The Only Way to Real Peace in This Crazy World,"April 7, 2017",5.0,/gp/profile/amzn1.account.AHPVKSOZPMTTWZ2WN2DSMCCOG37A,Stephen Hultquist
Good,Five Stars,"April 7, 2017",5.0,/gp/profile/amzn1.account.AGSWBMSOSLROTYN3BLLMGINXERKA,jose cruz
Very good quality work light...works great on my new bandsaw,Great product,"April 6, 2017",5.0,/gp/profile/amzn1.account.AGZQS5HAHXTLNMPKDFPPRHSS5Z3Q,Amazon Customer
I used shush for a week on holiday and was very happy with the result it is the best tan I have ever had and shall continue to use  it also my skin felt really soft  .,Brilliant,"April 6, 2017",5.0,/gp/profile/amzn1.account.AFWALV6RQHGS4FRH6VT6PDBBJDCA,william griffithsand carol griffiths
"Small in size, but big in lighting.I use it on my bandsaw and will purchase more for my other tools",I love it,"April 6, 2017",5.0,/gp/profile/amzn1.account.AF7UATBQTKKEQYLBV2FKRIOBUBNA,Sigi
Works as advertised fast shipping would order again,Four Stars,"April 6, 2017",4.0,/gp/profile/amzn1.account.AE5PRNQINBFFKGRWU4UZAYNV27ZA,John colli
good book,Five Stars,"April 6, 2017",5.0,/gp/profile/amzn1.account.AFAOE7FIDBQNQ46ZKME2KRXUXPGQ,Amazon Customer
Great sound. Nice fit. Connected immediately.,Works,"April 6, 2017",5.0,/gp/profile/amzn1.account.AFBQFAA5YIPEHXXVOBWNNRDF6PFQ,ichthusag
I love it. It's perfect!!!,Five Stars,"April 5, 2017",5.0,/gp/profile/amzn1.account.AGP5LBKEJMDCWUKOFPVGSBDCWYOA,Regina
Great dealBrite light for the money,Great deal Brite light for the,"April 5, 2017",5.0,/gp/profile/amzn1.account.AFF34ZX3UQ3XO6BRVZZM275LQK2Q,James M.
love it great quality,Five Stars,"April 4, 2017",5.0,/gp/profile/amzn1.account.AF7KWDNDUXC2SCBUIIDYJNDFDCWA,lisa
Great cape with true colors and superhero logo.,Five Stars,"April 4, 2017",5.0,/gp/profile/amzn1.account.AHVVOKFLYBUKAP7G3QMESF2HUKEQ,Judy Mastrangelo
"Perfect topper for my cake 6""-9"" two tier cake!",Loved it!!!,"April 3, 2017",5.0,/gp/profile/amzn1.account.AHVZJ73APY424CJY3MEUMHBLRGMQ,Gotking
Good product,Five Stars,"April 3, 2017",5.0,/gp/profile/amzn1.account.AEIOKVVJAFQUGQOIXE3WEC56O7DA,Amazon Customer
This wa a little more in depth that GTD with real world examples.  I enjoyed the stories. Only the format of the Penguin press book kept me from finding and finishing the book earlier as they have copious notes and references at the end extending the finish longer that it needs to be and did not hit the end of the book for fear of missing something more important.,I liked the outlook on the topic,"April 2, 2017",5.0,/gp/profile/amzn1.account.AF6ZXFDL7GXDZRS7Q2O7GET6H6GA,Victor W
The topper is beautiful.,Great Find,"April 1, 2017",4.0,/gp/profile/amzn1.account.AFHAIEGN65BSIFUMFZFDUBQTYC7A,F. J. Jones
Great quality item... <3 it!,Five Stars,"April 1, 2017",5.0,/gp/profile/amzn1.account.AGRZFIBIIKHDAFIG6QYK5Z5BISMQ,Connie Escamilla
I just celebrated my daughter's sweet 16 on Sunday. I needed the topper to mark the event. Really beautiful as shown in pictures. Only minor thing is that some of the crys,Sweet Sixteen party,"April 1, 2017",5.0,/gp/profile/amzn1.account.AETXCGT63LPE4LCIVDJPADZJEKSA,Cleopatra
"Not the usual self-help, productivity improvement book.  The book provides an excellent methodology to increase personal organization and productivity.  David Allen provides exercises that help you put his method into practice.  He helps you to prioritize your work and your life with practical actions.  I am anything but the rah-rah go-team, corporate worker drone and I was able to use this book to find more meaning and satisfaction in my work life.  I highly recommend the other two books in his GTD series.",Practical and Useful ... A Pleasant surprise for a productivity book,"April 1, 2017",5.0,/gp/profile/amzn1.account.AG7OE7BFQTO3WKQ6NXFREOJ5SAQA,pollye
I've tried to get into GTD in the past using tools like Omnifocus but failing with its adoption. Realizing that my failed adoption rate was because I truly didn't understood the system and decided to get and read the book. The online summaries that you can read on blogs and websites fail to convey the nuisance and importance of some of the important elements of the system. I never quite got the contexts concept until I read this book.Now I can safely say that I can't imagine my life without GTD and that I'm using Omnifocus effectively and that I truly understand the system.The book can be a hard read at times but it is definitely worth your time and money.,"Don't be fooled by online summaries, get this book","March 30, 2017",5.0,/gp/profile/amzn1.account.AEBPIR3GGDBM3YYQY2R253KRHSAA,théo
My babies only five months old but I bought them in anticipation of him being able to feed himself in a few months. They look amazing and I'm super excited to try them! I wish I had them for my six year old when he was a baby. I think they will be great for the purees I make in the baby bullet!,They look amazing and I'm super excited to try them,"March 30, 2017",5.0,/gp/profile/amzn1.account.AHUNSKH3FABSSBAKFXYYMANINPFA,Amazon Customer
works great for my bench grinder,Five Stars,"March 30, 2017",5.0,/gp/profile/amzn1.account.AEMAV7LNAYVARONYW2VUNH34B3HA,Jamie
Such high quality and really beautiful. Much nicer than I expected it to be.,Five Stars,"March 29, 2017",5.0,/gp/profile/amzn1.account.AGYHTXHESPIT3PSTWM35YPTHOM5A,Amazon Customer
Absolute perfection! It is Beautiful if I could give it a 10 I would.,It is Beautiful if I could give it a 10 I would,"March 29, 2017",5.0,/gp/profile/amzn1.account.AG25CR7GSJD5GAUANWA3PO5OVR5Q,Mscakelady
"Thank you, this was the cake topper that made the cake beautiful well made and fast delivery",this was the cake topper that made the cake beautiful well made and fast,"March 29, 2017",5.0,/gp/profile/amzn1.account.AGKXPAMALRZ4U7DKEMLH2SO5UNWA,stephen thomas
Absolutely gorgeous looking & good quality material. Definitely worth every penny.,Happy Buyer,"March 28, 2017",5.0,/gp/profile/amzn1.account.AGKZGKBCWQ2RVHZIRSCDM5FMUDUQ,Misha
just brilliant,Five Stars,"March 28, 2017",5.0,/gp/profile/amzn1.account.AFSIPTADZOTK3LACJSYB3CBBXHZQ,dale buckingham
"I thought I was purchasing Beats. Please remove the word ""Beats"" from the product name....leave it in the description only. I've only had these a couple of days, but I was sent an email for a review. I was on a phone call and had to disconnect because the other person complained of feedback, which was very inconvenient for me. I use these for my audiobooks, and so far that seems to have worked out fine. I have to listen to a lot of audio at work, so I will be taking them and seeing if they will accommodate my needs in that setting.",and so far that seems to have worked out fine. I have to listen to a lot of ...,"March 28, 2017",3.0,/gp/profile/amzn1.account.AGAFUFYNFRQTPSYEDLLYMFKIXDEQ,dee f.
"Although many of the topics in this book are relatively simple and obvious actions to take for productivity, the underlying detail of why these steps taken together with extensive detail on various methods one can use for each step of getting things done makes this book a necessity. Out of the many self-improvement and productivity books I have read, this is the best at not trying to teach only one way to improve. It focuses on what steps to take, but the final implementation is meant to be tailored to the individual. Allen knows that every person is most productive in slightly different ways.",Great book to read and then refresh upon regularly.,"March 27, 2017",5.0,/gp/profile/amzn1.account.AH6AYVBS4BSOAUEXYDTPFIZ5JHCQ,luke ellis
"This product is amazing!! I'm very pleased with this product. It is very smooth and easy to swallow unlike the other vitamins I take. Buy this product!! It is a little pricey but for the quality, it is totally worth it!",This product is amazing!! I'm very pleased with this product,"March 27, 2017",5.0,/gp/profile/amzn1.account.AENDEN2EQKTC765D6LNAWGIHZDDQ,P S
"Received item as pictured, very beautiful and my daughter was happy with her cake topper. Quality is very good, fast delivery and would definitely recommend.",very beautiful and my daughter was happy with her cake topper,"March 27, 2017",5.0,/gp/profile/amzn1.account.AGDSFOOQCIQRJEXQAYWIA273K7DQ,Erica Celedon
My daughter is in love,Five Stars,"March 26, 2017",5.0,/gp/profile/amzn1.account.AHOQTHZNBEAUCNQWF5ANFXVGSUHA,Amazon Customer
Tastes great,Vitamin c,"March 25, 2017",5.0,/gp/profile/amzn1.account.AG5NSAFEKYVXKMUHOJ5XBNSUOYZA,DiFatta
Exactly as advertised and exactly what I needed.,Five Stars,"March 24, 2017",5.0,/gp/profile/amzn1.account.AFFLS4GIUOWAY6DZKLNMJBUYI4OQ,Amazon Customer
Works well. Well made,Well made,"March 24, 2017",5.0,/gp/profile/amzn1.account.AE6PEEKUBQDASZ7TM4I5BD5LZGWA,santokki
Perfect!,Five Stars,"March 24, 2017",5.0,/gp/profile/amzn1.account.AFRUKRVAIBV445YKZ6YOX7E3455A,Mary W.
product very good also good value for the money.,Williams 4 pack waterless wash and wax,"March 24, 2017",5.0,/gp/profile/amzn1.account.AHUBKILO4MBJREMPHSV4WVAHTUKA,John R.
Too much um... superfluous text. I wish it would get to the point faster rather than giving you anecdotes.,Two Stars,"March 23, 2017",2.0,/gp/profile/amzn1.account.AHCQCLAGGM4XTVZDOC4JZQE4LZZQ,internetcat
"Awesome little lights for my lathe,drill press and bandsaw",Perfect light,"March 23, 2017",5.0,/gp/profile/amzn1.account.AE4JAKUCAYI37WY7XSQT45NMV5QQ,Amazon Customer
Useful,Four Stars,"March 23, 2017",4.0,/gp/profile/amzn1.account.AFOLOTAF5BIR37AZ5ETWSZHQLUYA,Margo Seamons
"“I love my infusion water bottle, I received my order on time and also received great information!!!! Would definitely order from again!!”",“I love my infusion water bottle,"March 23, 2017",5.0,/gp/profile/amzn1.account.AGK73VGXVS6G7S5UNAQT5AOC5B7A,Brenda
"Love it and I got so many compliments over it, easy to use and to clean.. my water has just been amazing thanks too the product",Water bottle,"March 22, 2017",5.0,/gp/profile/amzn1.account.AFUMO4KO5INZZ3KVK7M263T2GSNA,Amazon Customer
Very bright and affordable,Five Stars,"March 22, 2017",5.0,/gp/profile/amzn1.account.AFWKDLQSKJJQGPTU2FOIDWGBN5NA,Amazon Customer
It's a good and solid book. But for moments feels like a text book. You don't really need to explain and categorize every term. Unnecessary long. Good enough.,Too long,"March 22, 2017",3.0,/gp/profile/amzn1.account.AGVBLDNWWZ2O2IG4HH4HSLLBHPDA,Leonardo
My 4 year old loves it!,Five Stars,"March 22, 2017",5.0,/gp/profile/amzn1.account.AEDVGKAQIG3CEVCE77PVHOQGGSVQ,Amazon Customer
"These work perfect, love the feel! Highly recommend to anyone wanting to lift without injuring their hands.",Five Stars,"March 22, 2017",5.0,/gp/profile/amzn1.account.AFG3VDVVDUPQRLIQQOWXGAORRE2A,Slyk
I didn't' buy this. Not sure why it's on my feed to review.,One Star,"March 22, 2017",1.0,/gp/profile/amzn1.account.AEWLGFYPDZHGK2OGMBUEULXZUGFA,Joseph Howard
Best seller ever. Amazing people run the company. High recommended,Awesome love it,"March 22, 2017",5.0,/gp/profile/amzn1.account.AFO4HUAXP33LUVY7ENTEI5RBBKEQ,adam
This topper was beautiful!! So glad I ordered it!!!,Five Stars,"March 21, 2017",5.0,/gp/profile/amzn1.account.AEBIAMDQWLOVY5FLCPETEH6DTHOA,Shauna Williams
My grandson is one happy superhero!!! Just what I wanted,Superhero grandson,"March 21, 2017",5.0,/gp/profile/amzn1.account.AGHMPFN77TMNGB7VZLKRZ4EQRHEA,Tammy
My son loves these super hero capes. He is 4 years old with a huge imagination. When he puts these capes on he becomes his favorite super hero. The capes are a great quality and the colors are vibrant. I highly recommend this product!,Awesome Buy!,"March 21, 2017",5.0,/gp/profile/amzn1.account.AF5X4BTUI5PVVSG4D4IQNI7HAGVQ,tiffany
It was beautiful on the cake and our granddaughter was very happy with it!,Five Stars,"March 20, 2017",5.0,/gp/profile/amzn1.account.AGXSE3DJOUSRKXW2256VOKNGEZWQ,avid reader
Grandchildren loved the capes and masks. Great for creative play.,Superhero play,"March 20, 2017",5.0,/gp/profile/amzn1.account.AH6OHTC2GGNKSRNSRA6H6NUFWRTQ,Amazon Customer
Magnet so-so.Light is good.,Weak magnet.,"March 19, 2017",3.0,/gp/profile/amzn1.account.AFB6NJ5G2XNISURKHV53JJEYO5ZQ,Roger
"I have run a successful company for over a decade on the principles in this book.The three best things that make this method work for me are:1 - it uses the basic theory of ""I make lists"" and upgrades it in an easy to use way2 - it truly solves the ""laying awake in bed thinking about things"" problem3 - it can self-recover 100%.  Fall off program for a month, give up, eat an entire cake ... whatever ... then, when you're ready, reactivate in a day -- easy peasy.Tired of ""oh God, what did I forget?""Get this book, now.  Don't believe me? Read the subtitle.  People always ignore the subtitle.  Stress-free Productivity ... STRESS. FREE.Truth.",Best method for normal people ever designed,"March 18, 2017",5.0,/gp/profile/amzn1.account.AHHBITB76NRGAC5LMKX3VSROYAKA,Malcolm
The light is perfect for my pen lathe! The magnetic base with switch is well designed. Thanks for a great product.,The perfect lathe light!,"March 18, 2017",5.0,/gp/profile/amzn1.account.AE5RHRSZJBGGQ6ZYHRCWJ43AVDQQ,R. Byrd
Amazing sound quality and great for working out!,Five Stars,"March 17, 2017",5.0,/gp/profile/amzn1.account.AGI7BFCTATHDSLZUXQAFU4WA5PWA,claudia
My kids love to play dress up. They are perfect. My kids love them,Five Stars,"March 17, 2017",5.0,/gp/profile/amzn1.account.AFBYKB2HVNZHXETWXMMFIZEMV5AQ,Nicole Hesse
Love everything I received thank you,Five Stars,"March 17, 2017",5.0,/gp/profile/amzn1.account.AFR5AGHSIGUM2H3IVTCCJSJHUIDA,Amazon Customer
Kids love them,Five Stars,"March 16, 2017",5.0,/gp/profile/amzn1.account.AG2VPL63MDAEWNN7GNCAMBG4XSFA,gladys
"I was very interested in this book because I'm in one of those jobs where my priorities can change with every new email, while also juggling a busy personal life. When I read in the introduction this was exactly the sort of situation the book addresses I was glad to dive right in. Unfortunately, reading the book takes forever. The author repeats himself over and over and continuously promises to get to the actual ""getting things done"" part later in the book. For a book that is supposed to help you be more efficient, it's really not.I rarely leave book reviews, but made an exception here. This book could have been half the size and been helpful for busy professionals. As it is, I assume the author got paid by the word and didn't care he was wasting his readers' time.","If you have time to kill, this is worth it.","March 16, 2017",3.0,/gp/profile/amzn1.account.AED5CW3HKO2URSRTAA77RUORET7A,Kristyle Solomon
"GTD is more than a book. It's a guideline for those out there who miss those creative moments in your life. Well written, current and pure common sense. We can only see the embedded power only when the concepts are practiced. Definitely a must read for your work team or family.",If you miss your creative moments...,"March 16, 2017",5.0,/gp/profile/amzn1.account.AEAOY44WH6KGY6KYSGYHZLH4AGRQ,Reinaldo Irahola
Great product!! Don't even need to my volume half way to make it loud,Great!!!,"March 16, 2017",5.0,/gp/profile/amzn1.account.AEJLPFV7T3RE77CEA4QFO574EBOA,Amazon Customer
"Love the ""50 & Fabulous"" cake topper. Nice quality. Will be a great addition to a friend's birthday cake.",Pleasantly surprised!,"March 15, 2017",5.0,/gp/profile/amzn1.account.AF6X4DWPANAFE6MU4LAHBCX6A6JA,Katie R
"This is nicely  compact, so it won't take up much of the work space you are trying to light up. A strong magnet will resist movement. A winner.",Big like,"March 15, 2017",5.0,/gp/profile/amzn1.account.AEJC4BJKXGFI735FFPV7C2BIQG7A,DoriWyo
very good.thanks.,Five Stars,"March 14, 2017",5.0,/gp/profile/amzn1.account.AGRSNBIQ2L2MSLKO6GF5GRCWZYSQ,Amazon Customer
Works well and no leaks. I will recommend this to friends.,I will recommend this to friends,"March 14, 2017",5.0,/gp/profile/amzn1.account.AGSTCAWIMJKIVV4SYCQXZJU4SUBQ,Amazon Customer
Love the new headphones! Comfortable and great sound. Easy to use and charges quickly,Five Stars,"March 14, 2017",5.0,/gp/profile/amzn1.account.AHQO7WYP6NV5AUZJEKOOUN43NMGA,Kelly E.
This was a great survey of a simple concept laid out so even someone like me could do it.  He gives the reader hope that flow in work can be achieved.,Relevant and clear,"March 14, 2017",5.0,/gp/profile/amzn1.account.AFPFU2O7VDAZYF6DDT6R4IFMIYUA,Amazon Customer
My 3 year old granddaughter is flying around the house freeing the unjustly imprisoned and righting wrongs.,Superhero,"March 13, 2017",5.0,/gp/profile/amzn1.account.AH6KDPSVJXC7EIS3A3XET7KHFCXA,Loretta Feller
They were perfect for my project.,Five Stars,"March 12, 2017",5.0,/gp/profile/amzn1.account.AF4SVYBGPCUKNJQQXGQLMUXTDPBQ,Elizabeth A. Clarke
If I were to list just 3 of the most powerful self-help books I have every read – this book would be in the top 3. This is not just about productivity tools – it is a book that changes your relationship with how you create manage and execute your ideas. Very few books will give you such an extraordinary impact like this book.,it is a book that changes your relationship with how you create manage and execute your ideas,"March 12, 2017",5.0,/gp/profile/amzn1.account.AELFGOAOGUFSUG4VNLML5FRKM6MQ,Mike Grogan
"Heavy read, but full of great insights and recommendations.",You better be ready to dedicate a ton of time to this...but worth it in the end!,"March 11, 2017",4.0,/gp/profile/amzn1.account.AHISSRJTX4WVLZSHWS7IR5GBB5VQ,Rocky Mtn Resident
I am an executive coach for new executives of smaller agencies. It's a terrific book to help them get a grip on their time. Highly recommended.,Really works,"March 10, 2017",5.0,/gp/profile/amzn1.account.AGVK7HLU56OEVPXOU3IL425W2Y5Q,MkLt
Works perfectly,Five Stars,"March 10, 2017",5.0,/gp/profile/amzn1.account.AGWTSOBTI4KYFC47PFRNWRBIQVVQ,Jeff Hodge
"The magnet base is strong and easily holds on a vertical metal panel. It's also smaller than expected, but it works to its advantage as it occupies a very small space. The flexible neck holds in place and is plenty long. I wouldn't hesitate to buy again.",The magnet base is strong and easily holds on a vertical metal panel,"March 10, 2017",5.0,/gp/profile/amzn1.account.AHXESTP5IKX3EAAEUWLXVA7TN6UA,Kevin Woods
Great ballon for our magnoliapixbooth.com,Ring Ballon and Picture Prop,"March 10, 2017",4.0,/gp/profile/amzn1.account.AHLMI6XTYFUG6IK5EYRKJF7ZU7MQ,RJSAME
The rhinestone cake topper is perfect! I love it and it's large!,Five Stars,"March 9, 2017",5.0,/gp/profile/amzn1.account.AFIXCFCN62JSGPWZXTSMMDUMB3LQ,Amazon Customer
Exactly what I wanted !,As advertised,"March 9, 2017",5.0,/gp/profile/amzn1.account.AGAOVNXWZTMEVTNCFNJ4J5XB65QA,Christy O
"Product came on time with everything as described. Good quality straws, sunglasses and veil and sash! Can't wait to use them!",Good quality and great price!,"March 9, 2017",5.0,/gp/profile/amzn1.account.AGNOOJALFVVM3O6XSP24HA3PBGGQ,Vishesh Supersad
"They are adorable, I would like to see if maybe in the future you can add velcro in different areas for the toddlers...this way all children different sizes can wear it properly.  Other than that they are beautifully made.",Kids love them,"March 7, 2017",5.0,/gp/profile/amzn1.account.AHLIKILZTPBO4PIPTLA45I3WQOXQ,Amazon Customer
"Well made, fun. 2 ""girl"" 2 ""boy"". Perfect.","Well made, quality fun.","March 7, 2017",5.0,/gp/profile/amzn1.account.AGFLOK6IAP7JT37BC6A76FBHQIEQ,Dot
Love the color! Love the feel! And love the space!,Five Stars,"March 6, 2017",5.0,/gp/profile/amzn1.account.AHSREN7SYYJH7LSGEY7YRKFBULZQ,Taylor Breeze
They were great to work with!,Four Stars,"March 6, 2017",4.0,/gp/profile/amzn1.account.AFD5LDOYCXGW6JRNRRSY5H7FR4QQ,Katrina Jacobson
"HelloI just wanna say that I absolutely love my healthy human cup. I use it for my green smoothies and my tea, it keep my smoothies cold and my tea hot for hours. I also adore the colors and that fact that I can be discreet and healthy at the same time. Thanks for making such a get product. I am definitely recommending all my family and friends to buy.",Satisfied Customer,"March 5, 2017",5.0,/gp/profile/amzn1.account.AEAYBMHJXF25MKMFMUURCR2KB5VA,Katina
"Allen`s system is s great way of breaking down thoughts in to actions, and really learning how to apply common sense to everyday stressful scenarios.  Having a clear mind is the ultimate goal and I think these methods, when applied properly can really achieve that sense of calm.  My reason for giving it 4 stars out of 5 is that it is a little too repetitive and lengthy.","Great system, wish everyone knew this!","March 4, 2017",4.0,/gp/profile/amzn1.account.AFGOCBXZJ72IDRS3WCAAZTLZ7HWA,Nico
Fantastic book!,Five Stars,"March 2, 2017",5.0,/gp/profile/amzn1.account.AFRIOVDRX2EOGEUVHADCLLVOXTMQ,Anjie Spencer
My daughter is baking cakes and she's been using your topper and they add elegant to her cakes she loves them,Cake toppers,"March 1, 2017",5.0,/gp/profile/amzn1.account.AFIZEGZVYGKLMKRO6EHKFTX2QMTQ,Brenda DeJesus
Had hoped it would be brighter but it will do what I purchased it for,Is good for my purposes,"March 1, 2017",4.0,/gp/profile/amzn1.account.AH5XFDLQDZALK2ZADJ57WDOSUUTA,David Akridge
Very well made product.  Just what I needed.,Five Stars,"March 1, 2017",5.0,/gp/profile/amzn1.account.AH67G73EBUCHLA2WQ5TZ23UFZ2WQ,Shirley F
It was amazing just what I was looking for and it came on time for my party. Thanks so much will be using you again,It was amazing just what I was looking for and it came ...,"February 28, 2017",5.0,/gp/profile/amzn1.account.AFOPUZOMPP3MM6FN66DRQWIOUNUQ,Amazon Customer
Good solution to automatic switching of led lighting where there is insufficient load for electronic systems. Easy to fit and worked straight away.,Automated light switch,"February 27, 2017",5.0,/gp/profile/amzn1.account.AFEU3TRSZENRAZRSLTY3R73A66FA,D Fraser
Now I can stop signing it out from the Library!!,Five Stars,"February 26, 2017",5.0,/gp/profile/amzn1.account.AHY7JZ3EUOKAFVRRLASVWO6SRH5Q,Denny Arbour
"Using this little powerful light on my Laguna band saw, works great!",works great!,"February 26, 2017",5.0,/gp/profile/amzn1.account.AFHOHBVLMBE4TTLDEYDJYVJ4YZIQ,terry frenzel
"Arrived in good shape, looks beautiful will be perfect for my mothers 70th birthday party",Five Stars,"February 26, 2017",5.0,/gp/profile/amzn1.account.AGTJ7WX5QHNYD5S5UUHGAVRSWEOQ,salvador prieto
